region,round,team1,seed1,score1,team2,seed2,score2,winner,year
East,First Round,Duke,1,82,Campbell,16,56,Duke,1992
East,First Round,Texas,8,92,Iowa,9,98,Iowa,1992
East,First Round,Missouri,5,89,West Virginia,12,78,Missouri,1992
East,First Round,Seton Hall,4,78,La Salle,13,76,Seton Hall,1992
East,First Round,Syracuse,6,51,Princeton,11,43,Syracuse,1992
East,First Round,UMass,3,85,Fordham,14,58,UMass,1992
East,First Round,Charlotte,7,74,Iowa State,10,76,Iowa State,1992
East,First Round,Kentucky,2,88,Old Dominion,15,69,Kentucky,1992
East,Second Round,Duke,1,75,Iowa,9,62,Duke,1992
East,Second Round,Missouri,5,71,Seton Hall,4,88,Seton Hall,1992
East,Second Round,Syracuse,6,71,UMass,3,77,UMass,1992
East,Second Round,Iowa State,10,98,Kentucky,2,106,Kentucky,1992
East,Sweet Sixteen,Duke,1,81,Seton Hall,4,69,Duke,1992
East,Sweet Sixteen,UMass,3,77,Kentucky,2,87,Kentucky,1992
East,Elite Eight,Duke,1,104,Kentucky,2,103,Duke,1992
Midwest,First Round,Kansas,1,100,Howard,16,67,Kansas,1992
Midwest,First Round,Evansville,8,50,UTEP,9,55,UTEP,1992
Midwest,First Round,Michigan State,5,61,Missouri State,12,54,Michigan State,1992
Midwest,First Round,Cincinnati,4,85,Delaware,13,47,Cincinnati,1992
Midwest,First Round,Memphis,6,80,Pepperdine,11,70,Memphis,1992
Midwest,First Round,Arkansas,3,80,Murray State,14,69,Arkansas,1992
Midwest,First Round,Georgia Tech,7,65,Houston,10,60,Georgia Tech,1992
Midwest,First Round,USC,2,84,Louisiana-Monroe,15,54,USC,1992
Midwest,Second Round,Kansas,1,60,UTEP,9,66,UTEP,1992
Midwest,Second Round,Michigan State,5,65,Cincinnati,4,77,Cincinnati,1992
Midwest,Second Round,Memphis,6,82,Arkansas,3,80,Memphis,1992
Midwest,Second Round,Georgia Tech,7,79,USC,2,78,Georgia Tech,1992
Midwest,Sweet Sixteen,UTEP,9,67,Cincinnati,4,69,Cincinnati,1992
Midwest,Sweet Sixteen,Memphis,6,83,Georgia Tech,7,79,Memphis,1992
Midwest,Elite Eight,Cincinnati,4,88,Memphis,6,57,Cincinnati,1992
West,First Round,UCLA,1,73,Robert Morris,16,53,UCLA,1992
West,First Round,Louisville,8,81,Wake Forest,9,58,Louisville,1992
West,First Round,DePaul,5,73,New Mexico State,12,81,New Mexico State,1992
West,First Round,Oklahoma,4,83,Louisiana,13,87,Louisiana,1992
West,First Round,Georgetown,6,75,South Florida,11,60,Georgetown,1992
West,First Round,Florida State,3,78,Montana,14,68,Florida State,1992
West,First Round,LSU,7,94,BYU,10,83,LSU,1992
West,First Round,Indiana,2,94,Eastern Illinois,15,55,Indiana,1992
West,Second Round,UCLA,1,85,Louisville,8,69,UCLA,1992
West,Second Round,New Mexico State,12,81,Louisiana,13,73,New Mexico State,1992
West,Second Round,Georgetown,6,68,Florida State,3,78,Florida State,1992
West,Second Round,LSU,7,79,Indiana,2,89,Indiana,1992
West,Sweet Sixteen,UCLA,1,85,New Mexico State,12,78,UCLA,1992
West,Sweet Sixteen,Florida State,3,74,Indiana,2,85,Indiana,1992
West,Elite Eight,UCLA,1,79,Indiana,2,106,Indiana,1992
National,Final Four,Duke,1,81,Indiana,2,78,Duke,1992
National,Final Four,Cincinnati,4,72,Michigan,6,76,Michigan,1992
National,Championship,Duke,1,71,Michigan,6,51,Duke,1992
East,First Round,UNC,1,101,Northeastern,16,66,UNC,1991
East,First Round,Princeton,8,48,Villanova,9,50,Villanova,1991
East,First Round,Mississippi State,5,56,Eastern Michigan,12,76,Eastern Michigan,1991
East,First Round,UCLA,4,69,Penn State,13,74,Penn State,1991
East,First Round,NC State,6,114,Southern Miss,11,85,NC State,1991
East,First Round,Oklahoma State,3,67,New Mexico,14,54,Oklahoma State,1991
East,First Round,Purdue,7,63,Temple,10,80,Temple,1991
East,First Round,Syracuse,2,69,Richmond,15,73,Richmond,1991
East,Second Round,UNC,1,84,Villanova,9,69,UNC,1991
East,Second Round,Eastern Michigan,12,71,Penn State,13,68,Eastern Michigan,1991
East,Second Round,NC State,6,64,Oklahoma State,3,73,Oklahoma State,1991
East,Second Round,Temple,10,77,Richmond,15,64,Temple,1991
East,Sweet Sixteen,UNC,1,93,Eastern Michigan,12,67,UNC,1991
East,Sweet Sixteen,Oklahoma State,3,63,Temple,10,72,Temple,1991
East,Elite Eight,UNC,1,75,Temple,10,72,UNC,1991
Midwest,First Round,Ohio State,1,97,Towson,16,86,Ohio State,1991
Midwest,First Round,Georgia Tech,8,87,DePaul,9,70,Georgia Tech,1991
Midwest,First Round,Texas,5,73,St. Peter's,12,65,Texas,1991
Midwest,First Round,St. John's (NY),4,75,Northern Illinois,13,68,St. John's (NY),1991
Midwest,First Round,LSU,6,62,UConn,11,79,UConn,1991
