Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
122,Long Island University,28,11,17,0.393,-12.98,-9.35,,7.0,11.0,,4,7,,6,9,,2161,2207,,,,0.364,0.278,0.521,46.8,54.6,,8.1,0.489,18.4,,0.245
123,Louisiana,30,17,13,0.567,4.58,1.68,,11.0,7.0,,10,4,,6,6,,2391,2304,,,,0.398,0.188,0.544,48.2,48.2,,6.6,0.507,16.7,,0.279
124,Louisiana State NCAA,33,22,11,0.667,10.24,5.27,,9.0,7.0,,15,2,,3,6,,2597,2433,,,,0.35,0.244,0.517,51.7,52.2,,7.2,0.483,16.2,,0.239
125,Louisiana Tech,28,7,21,0.25,-10.93,0.82,,3.0,15.0,,3,8,,2,11,,1710,2029,,,,0.363,0.216,0.477,48.1,45.5,,10.0,0.448,23.0,,0.222
126,Louisiana-Monroe NCAA,31,26,5,0.839,7.65,-5.08,,17.0,1.0,,14,0,,10,2,,2702,2299,,,,0.4,0.227,0.583,50.3,47.5,,6.1,0.566,15.6,,0.257
127,Louisville NCAA,31,22,9,0.71,14.65,8.85,,11.0,1.0,,13,3,,6,5,,2513,2293,,,,0.399,0.246,0.574,52.3,56.7,,9.8,0.549,17.7,,0.267
128,Loyola (IL),27,7,20,0.259,-7.23,2.29,,3.0,11.0,,5,8,,2,11,,1810,1993,,,,0.37,0.218,0.513,47.2,48.4,,4.4,0.484,22.1,,0.239
129,Loyola (MD),27,2,25,0.074,-15.26,-3.04,,1.0,13.0,,1,9,,1,13,,1571,1901,,,,0.33,0.235,0.482,47.3,53.3,,6.8,0.448,23.1,,0.218
130,Loyola Marymount,27,7,20,0.259,-9.11,-2.39,,2.0,12.0,,4,9,,2,10,,1855,2008,,,,0.384,0.232,0.502,48.9,54.4,,9.7,0.463,21.3,,0.262
131,Maine,27,10,17,0.37,-10.97,-7.93,,4.0,10.0,,5,6,,4,11,,1841,1923,,,,0.325,0.163,0.511,49.9,55.8,,6.9,0.482,19.6,,0.215
132,Manhattan NCAA,30,23,7,0.767,3.15,-3.05,,12.0,2.0,,11,0,,9,4,,2194,2006,,,,0.436,0.265,0.544,53.4,56.0,,6.2,0.511,19.8,,0.291
133,Marist,30,14,16,0.467,-10.56,-8.25,,10.0,8.0,,8,6,,5,6,,2129,2189,,,,0.497,0.259,0.535,50.6,53.5,,6.8,0.495,18.6,,0.331
134,Marquette NCAA,28,20,8,0.714,15.68,2.29,,6.0,4.0,,13,3,,7,3,,2067,1692,,,,0.422,0.216,0.567,54.7,69.5,,10.4,0.524,17.4,,0.314
135,Marshall,27,16,11,0.593,-4.44,-4.8,,11.0,7.0,,12,1,,4,8,,2112,2062,,,,0.385,0.209,0.523,49.4,51.2,,8.8,0.485,18.0,,0.267
136,Maryland,28,12,16,0.429,9.49,9.17,,2.0,14.0,,8,7,,2,8,,2235,2226,,,,0.342,0.178,0.504,48.5,61.7,,7.2,0.471,17.1,,0.23
137,Maryland-Baltimore County,28,12,16,0.429,-11.82,-8.47,,7.0,9.0,,8,3,,3,12,,2290,2337,,,,0.412,0.214,0.517,50.1,57.3,,7.7,0.489,17.8,,0.258
138,Maryland-Eastern Shore,27,13,14,0.481,-20.56,-11.88,,7.0,9.0,,5,4,,4,10,,1794,1995,,,,0.438,0.229,0.503,48.1,42.1,,4.8,0.466,21.8,,0.284
139,Massachusetts NCAA,31,24,7,0.774,14.25,5.34,,11.0,3.0,,10,0,,8,4,,2262,1986,,,,0.495,0.26,0.532,54.8,61.4,,10.9,0.485,17.5,,0.346
140,McNeese State,28,12,16,0.429,-5.95,-4.91,,9.0,9.0,,5,7,,7,6,,2034,2035,,,,0.364,0.273,0.546,46.6,40.7,,11.1,0.51,18.7,,0.262
