Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
213,Duquesne,A-10,,12,18,63.1,69.6,-6.47,,0.26,,-4.44,-2.90,-7.33,,,
214,Penn State,A-10,,8,19,64.7,71.6,-6.89,,0.74,,-3.79,-3.73,-7.51,,,
215,Harvard,Ivy,,15,9,65.7,63.9,1.75,,-8.19,,-6.04,-1.48,-7.52,,,
216,Illinois-Chicago,Mid-Cont,,14,14,70.4,75.5,-5.07,,-3.68,,-0.98,-6.59,-7.57,,,
217,Lafayette,ECC,,15,13,63.9,63.8,0.14,,-6.56,,-9.07,1.47,-7.60,,,
218,Oklahoma City,MW City,,6,20,67.2,73.8,-6.58,,2.25,,-4.27,-3.39,-7.66,,,
219,Long Island University,ECACM,,15,13,76.0,73.6,2.43,,-6.92,,0.86,-8.57,-7.72,,,
220,Howard,MEAC,,16,12,70.4,63.7,6.68,,-11.35,,-9.32,1.43,-7.89,,,
221,Fairfield,MAAC,,11,17,74.8,78.2,-3.36,,-3.49,,4.14,-12.22,-8.08,,,
222,Furman,Southern,,7,21,63.1,67.9,-4.75,,-0.96,,-8.12,0.04,-8.08,,,
223,UNC Wilmington,ECACS,,12,16,66.3,67.8,-1.50,,-3.95,,-6.60,-1.59,-8.19,,,
224,Holy Cross,MAAC,,9,19,70.3,75.4,-5.14,,-2.09,,-0.50,-7.77,-8.27,,,
225,Manhattan,MAAC,,8,20,64.3,68.6,-4.32,,-4.33,,-7.39,-1.09,-8.48,,,
226,Rhode Island,A-10,,8,20,63.9,68.7,-4.82,,-1.25,,-5.91,-2.66,-8.56,,,
227,Hofstra,ECC,,14,15,74.0,73.2,0.76,,-7.70,,-0.14,-8.94,-9.08,,,
228,Eastern Washington,Ind,,12,15,68.7,71.9,-3.22,,-1.89,,-4.66,-4.58,-9.24,,,
229,Northern Iowa,Mid-Cont,,12,16,65.0,66.3,-1.29,,-4.32,,-7.87,-1.54,-9.40,,,
230,Brown,Ivy,,9,18,67.0,69.1,-2.07,,-6.67,,-3.77,-5.78,-9.55,,,
231,Princeton,Ivy,,11,15,52.2,55.0,-2.81,,-5.72,,-18.84,9.25,-9.59,,,
232,American,ECACS,,9,19,71.2,76.5,-5.29,,-1.86,,-0.29,-9.33,-9.62,,,
233,Pacific,PCAA,,9,19,63.0,71.0,-7.93,,-0.60,,-7.36,-2.36,-9.72,,,
234,Hardin-Simmons,TAAC,,11,17,66.4,67.1,-0.71,,-6.50,,-7.41,-2.41,-9.82,,,
235,Alabama State,SWAC,,14,17,72.1,74.5,-2.39,,-6.28,,-2.72,-7.28,-10.00,,,
236,Radford,Ind,,16,12,66.8,65.0,1.79,,-11.44,,-8.13,-2.19,-10.32,,,
237,East Carolina,ECACS,,7,21,64.9,71.3,-6.39,,-1.04,,-6.26,-4.34,-10.60,,,
238,East Tennessee State,Southern,,9,18,66.6,73.3,-6.70,,-3.51,,-3.52,-7.18,-10.70,,,
239,Drexel,ECC,,10,18,67.0,72.2,-5.25,,-5.66,,-4.85,-6.06,-10.91,,,
240,Green Bay,Mid-Cont,,4,24,60.5,67.6,-7.11,,-2.50,,-10.78,-0.22,-11.00,,,
241,Saint Francis (PA),ECACM,,9,19,76.4,81.7,-5.36,,-5.04,,5.50,-16.62,-11.12,,,
242,Austin Peay,OVC,,8,19,65.0,72.2,-7.19,,-2.62,,-4.37,-6.81,-11.18,,,
243,Rider,ECC,,14,15,68.9,72.0,-3.14,,-7.25,,-4.46,-6.95,-11.40,,,
244,Yale,Ivy,,14,12,69.1,71.1,-2.00,,-6.19,,-2.57,-8.84,-11.41,,,
245,Jackson State,SWAC,,10,16,68.4,72.5,-4.08,,-5.46,,-6.38,-5.12,-11.50,,,
246,UT Arlington,Southland,,12,16,74.5,79.4,-4.89,,-3.49,,0.85,-12.50,-11.65,,,
247,Robert Morris,ECACM,,9,19,65.9,70.0,-4.14,,-5.21,,-5.93,-5.77,-11.71,,,
248,Delaware,ECC,,12,16,68.8,73.2,-4.43,,-7.07,,-3.54,-8.30,-11.83,,,
249,Charleston Southern,Ind,,13,15,67.7,69.8,-2.07,,-8.84,,-6.99,-4.89,-11.88,,,
250,Monmouth,Ind,,12,15,71.6,72.6,-1.00,,-7.89,,-4.04,-7.89,-11.93,,,
251,Long Beach State,PCAA,,4,23,64.0,72.7,-8.78,,-0.90,,-6.83,-5.11,-11.94,,,
252,Brooklyn,Ind,,15,13,70.4,67.2,3.18,,-11.30,,-5.23,-6.78,-12.01,,,
253,Lehigh,ECC,,12,19,65.5,69.4,-3.87,,-6.89,,-7.37,-4.65,-12.02,,,
254,Tennessee State,Ind,,9,19,66.3,70.1,-3.89,,-6.46,,-7.11,-5.23,-12.34,,,
255,Maine,ECACN,,11,17,69.1,74.1,-4.96,,-6.54,,-2.53,-10.01,-12.54,,,
256,Hartford,ECACN,,7,21,66.7,73.9,-7.21,,-2.69,,-5.74,-6.88,-12.61,,,
257,Morehead State,OVC,,7,20,63.1,71.9,-8.81,,-0.87,,-7.28,-5.81,-13.09,,,
