Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
157,Minnesota NCAA,28,17,11,0.607,13.53,9.92,8.0,8.0,13,3,4,6,68.9,65.3,,25.5,56.3,0.453,4.75,12.8,0.373,13.1,19.3,0.68,13.0,38.1,15.3,7.75,5.89,14.7,18.1
158,Mississippi NCAA,33,20,13,0.606,14.97,8.3,8.0,8.0,13,3,3,7,77.0,67.1,40.2,27.6,59.0,0.468,5.85,18.4,0.318,15.9,25.3,0.628,12.8,36.3,16.5,9.88,4.03,15.0,20.5
159,Mississippi State,33,20,13,0.606,8.76,3.25,8.0,8.0,12,2,2,7,69.1,64.5,40.2,25.4,57.5,0.442,5.52,18.1,0.305,12.8,19.6,0.651,14.1,40.4,13.4,6.09,3.61,16.2,18.2
160,Mississippi Valley State,27,14,13,0.519,-13.76,-12.01,10.0,6.0,9,3,4,8,72.9,74.1,,27.0,68.9,0.392,6.52,19.6,0.333,12.4,19.2,0.645,18.4,44.0,11.0,8.74,6.93,18.2,20.4
161,Missouri NCAA,29,20,9,0.69,12.5,3.99,11.0,5.0,13,3,6,4,71.8,63.2,40.0,25.6,57.5,0.445,6.21,16.3,0.38,14.4,22.3,0.648,11.6,37.7,14.2,8.83,3.69,14.6,17.9
162,Missouri State NCAA,33,22,11,0.667,13.82,6.51,11.0,7.0,12,3,7,6,73.2,65.8,40.8,25.4,55.2,0.46,5.42,14.9,0.365,17.0,23.9,0.711,10.6,35.2,15.2,9.06,4.21,14.2,17.2
163,Monmouth,26,5,21,0.192,-15.2,-7.72,5.0,15.0,3,10,2,11,62.8,70.0,40.0,22.9,52.3,0.437,4.73,14.2,0.332,12.3,18.4,0.666,10.3,29.2,12.7,9.92,3.19,16.8,19.2
164,Montana,27,13,14,0.481,-2.95,-2.99,6.0,10.0,9,6,4,8,71.9,69.1,,24.6,54.6,0.45,5.81,15.2,0.383,16.9,24.0,0.703,12.6,37.9,14.2,6.48,2.11,17.0,19.2
165,Montana State,29,16,13,0.552,0.07,-1.51,9.0,7.0,11,2,3,10,78.0,75.2,40.2,28.3,58.2,0.486,7.72,19.9,0.389,13.7,18.9,0.723,9.07,35.4,20.1,4.55,2.17,15.1,17.6
166,Morehead State,28,13,15,0.464,-8.74,-5.01,9.0,9.0,10,3,3,11,76.8,78.5,,27.6,60.6,0.456,7.46,19.5,0.383,14.0,19.6,0.715,12.4,32.9,17.0,9.36,2.43,17.3,19.9
167,Morgan State,28,14,14,0.5,-14.69,-9.62,12.0,6.0,7,2,5,11,66.5,71.4,,24.4,60.0,0.406,5.61,17.3,0.324,12.1,19.6,0.618,12.9,36.0,13.4,7.71,5.46,14.9,18.2
168,Mount St. Mary's NCAA,30,15,15,0.5,-7.35,-6.35,10.0,10.0,7,5,5,9,68.3,69.3,,25.2,58.8,0.429,6.6,19.6,0.337,11.3,16.4,0.689,11.4,33.6,14.0,8.27,4.07,14.7,18.5
169,Murray State NCAA,33,27,6,0.818,6.76,-5.24,16.0,2.0,13,0,10,3,78.5,67.1,40.5,29.1,62.1,0.469,5.7,16.5,0.344,14.5,21.4,0.681,15.8,41.1,15.2,8.33,3.36,15.0,17.4
170,Navy,27,20,7,0.741,-0.29,-7.58,9.0,3.0,12,2,7,4,71.6,62.9,,27.4,60.1,0.456,3.3,11.1,0.298,13.5,22.6,0.598,15.7,43.6,15.5,11.0,5.63,19.4,20.4
171,NC State,33,19,14,0.576,12.14,6.87,6.0,10.0,15,4,1,8,71.6,65.7,40.2,24.2,53.2,0.454,5.61,15.2,0.368,17.6,26.0,0.678,14.0,35.9,12.4,7.76,3.85,16.9,19.3
172,Nebraska,33,20,13,0.606,7.61,5.92,10.0,6.0,11,4,7,6,66.0,64.3,40.0,24.2,53.5,0.453,3.42,11.1,0.31,14.1,21.7,0.651,11.7,35.4,14.8,10.9,4.79,18.1,17.7
173,Nevada,26,8,18,0.308,-9.78,-1.46,4.0,12.0,5,8,3,10,68.3,75.2,40.4,25.0,56.6,0.442,5.35,16.0,0.335,12.8,20.4,0.629,11.8,35.5,14.0,6.5,3.5,17.8,18.1
174,Nevada-Las Vegas,29,16,13,0.552,8.78,4.53,9.0,5.0,10,6,6,5,74.6,68.9,40.2,27.1,59.0,0.46,6.03,18.9,0.32,14.3,22.5,0.635,12.5,37.5,17.4,9.03,4.59,15.1,17.7
175,New Hampshire,27,4,23,0.148,-21.26,-7.37,2.0,16.0,3,7,0,14,64.2,78.1,40.0,22.2,56.0,0.396,8.15,22.7,0.359,11.7,16.7,0.7,11.3,35.9,12.7,5.0,3.63,17.4,21.3
176,New Mexico NCAA,34,25,9,0.735,7.84,0.62,9.0,5.0,19,1,3,6,75.2,67.8,,26.1,56.1,0.466,7.26,19.6,0.37,15.6,20.8,0.751,11.1,35.9,14.2,6.59,3.26,12.6,13.6
177,New Mexico State NCAA,33,23,10,0.697,2.36,-0.68,12.0,4.0,11,1,8,7,68.9,65.1,,24.8,53.4,0.464,6.09,16.2,0.376,13.3,20.2,0.659,11.7,34.2,12.6,6.97,2.64,13.9,17.5
178,New Orleans,30,14,16,0.467,-4.63,-1.5,5.0,9.0,10,2,2,11,60.8,63.9,,21.9,52.0,0.421,4.9,15.7,0.312,12.2,18.2,0.67,,31.6,12.1,7.7,3.93,15.5,19.2
179,Niagara,29,17,12,0.586,-3.89,-4.51,13.0,5.0,10,1,6,8,80.7,80.1,40.3,27.3,64.6,0.423,6.83,20.7,0.331,19.2,26.4,0.727,15.8,38.2,13.9,8.76,2.97,15.9,23.4
